"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"RT @billmaher: China is a dictatorship that, for decades, enforced a one child per family policy under penalty of forced sterilization. But…";FALSE;0;NA;2020-04-12 17:11:45;FALSE;NA;"1249384724725989376";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"FadiMaddoc";40696;TRUE;FALSE;NA;NA
"RT @amjoyshow: #ICYMI-Systemic racism, lack of insurance fuel #coronavirus racial disparities expert says https://t.co/ECl0tdVwVu via @amjo…";FALSE;0;NA;2020-04-12 17:11:45;FALSE;NA;"1249384724054675457";NA;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";"Morello50449841";32;TRUE;FALSE;NA;NA
"#SriLanka #Coronavirus Update : Seven more #Covid19 infected patients reported today increasing total cases to 210… https://t.co/EEelfNcUTg";FALSE;0;NA;2020-04-12 17:11:45;TRUE;NA;"1249384723757043712";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"MDWLiveSriLanka";0;FALSE;FALSE;NA;NA
"RT @JamesMelville: The Matterhorn, Switzerland has been lit up with the flags of countries severely hit by the #coronavirus. Tonight it was…";FALSE;0;NA;2020-04-12 17:11:45;FALSE;NA;"1249384722775621632";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"GeallDavid";2086;TRUE;FALSE;NA;NA
"RT @PhotoJFish: Rev. Richard Catanach conducts a live stream of #Easter mass in a nearly empty auditorium at the Holy Cross Catholic Church…";FALSE;0;NA;2020-04-12 17:11:44;FALSE;NA;"1249384722460839937";NA;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";"NMPBS";2;TRUE;FALSE;NA;NA
"RT @PressTV: Trump likes virus briefings, some advisers worry he likes them too much 

#Coronavirus 
https://t.co/DvA6JZL7Qr";FALSE;0;NA;2020-04-12 17:11:44;FALSE;NA;"1249384722284724226";NA;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";"Markmichdomnic";7;TRUE;FALSE;NA;NA
"RT @sanosbo1: My current mood <U+0001F602><U+0001F602><U+0001F602><U+0001F602> https://t.co/du2uNjvaAe #Resist  #coronavirus #COVID19";FALSE;0;NA;2020-04-12 17:11:44;FALSE;NA;"1249384721127260161";NA;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";"PocDaAfronta";42;TRUE;FALSE;NA;NA
"RT @WHO: Exercise helps kids with a lot of energy (and adults) to de-stress when we #StayAtHome.

Let your child choose the music and have…";FALSE;0;NA;2020-04-12 17:11:44;FALSE;NA;"1249384721009737733";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"_LordEkowAnthem";165;TRUE;FALSE;NA;NA
"RT @MicrobesInfect: The #coronavirus is killing ~ 1 in 10 hospitalized middle-aged patients &amp; 4 in 10 older than 85 in the US, &amp; is particu…";FALSE;0;NA;2020-04-12 17:11:44;FALSE;NA;"1249384720967720961";NA;"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";"classroomtools";132;TRUE;FALSE;NA;NA
"RT @P4tR10tBoo: <U+0001F6A8>This Was Supposed To Be Stopped Last Month, BUT <U+0001F4A5> On April 2 <U+0001F4A5> 17 'Refugees' From Countries With Confirmed #Coronavirus —…";FALSE;0;NA;2020-04-12 17:11:44;FALSE;NA;"1249384720963489792";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"AllenEdwardRic2";75;TRUE;FALSE;NA;NA
