text|favorited|favoriteCount|replyToSN|created|truncated|replyToSID|id|replyToUID|statusSource|screenName|retweetCount|isRetweet|retweeted|longitude|latitude
RT @CgtTuifrance: #Coronavirus. Le Medef et la CFDT dans un communiqué commun : « face à la crise, l’heure est au rassemblement » Faudra b…|FALSE|0|NA|2020-04-10 15:33:43|FALSE|NA|1248635279965028365|NA|<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>|BoubeSuzanne|38|TRUE|FALSE|NA|NA
RT @GilbertCollard: A #Rungis, une heure de recueillement sur une dépouille : 55 euros…  Les salauds. #Coronavirus #Covid19 #COVID19france…|FALSE|0|NA|2020-04-10 15:33:43|FALSE|NA|1248635279122083841|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|dgefr2604|437|TRUE|FALSE|NA|NA
RT @Conflits_FR: <U+0001F1EE><U+0001F1F9> Pandémie de #coronavirus : alors que le #confinement  strict a été prolongé jusqu'au 3 mai en #Italie, le gouvernement…|FALSE|0|NA|2020-04-10 15:33:43|FALSE|NA|1248635277331107846|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|DXebec_MORO_PSG|83|TRUE|FALSE|NA|NA
RT @BlaguesDessins: #Coronavirus <U+0001F9A0><U+0001F637> Suite au coronavirus, il n’y a plus que 6 nains avec Blanche-Neige… Atchoum vient d’être placé en quara…|FALSE|0|NA|2020-04-10 15:33:40|FALSE|NA|1248635266526519296|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|jonathan_bellin|6|TRUE|FALSE|NA|NA
Rendez-vous MERCREDI 15 AVRIL à 17h ! Chat en direct avec Médecins Sans Frontières qui répondront à toutes vos ques… https://t.co/IdSKTeWnU2|FALSE|0|NA|2020-04-10 15:33:40|TRUE|NA|1248635266232979458|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|Kromiska|0|FALSE|FALSE|NA|NA
quelle est la durée de vie du #coronavirus ? ... sur la surface extérieure d'un #masque de protection, les traces d… https://t.co/VcGC7rFoaE|FALSE|0|NA|2020-04-10 15:33:39|TRUE|NA|1248635261694681089|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|ORageetDesepoir|0|FALSE|FALSE|NA|NA
RT @GouvMag: Gordon Brown appelle à un G20 sur le coronavirus et une gestion internationale de la crise. Voici les mesures qu'il propose.…|FALSE|0|NA|2020-04-10 15:33:39|FALSE|NA|1248635261099139073|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|YasmineBriki|2|TRUE|FALSE|NA|NA
RT @ZvitaK: @Dago08892745 @Drmartyufml @olivierveran Salut papi mougeot <U+0001F921> ouais c un cumul de tellement de choses pas assez de place sur ma…|FALSE|0|NA|2020-04-10 15:33:39|FALSE|NA|1248635260750966785|NA|<a href="https://twitter.com/FreeBet13" rel="nofollow">Retweetteuse</a>|4Tchat|1|TRUE|FALSE|NA|NA
Rectification du @SPFEconomie : les #masques importés par Life bvba ne répondaient pas aux normes… https://t.co/eDKKriWzLD|FALSE|0|NA|2020-04-10 15:33:38|TRUE|NA|1248635257647239169|NA|<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>|EtienneMignolet|0|FALSE|FALSE|NA|NA
RT @Conflits_FR: <U+0001F1EB><U+0001F1F7> Pandémie de #coronavirus : Jean-Michel #Blanquer "Les oraux de français sont maintenus car il n’y a pas de note de cont…|FALSE|0|NA|2020-04-10 15:33:37|FALSE|NA|1248635251359911936|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|MariannePmnt|129|TRUE|FALSE|NA|NA
RT @Conflits_FR: <U+0001F1EB><U+0001F1F7> Pandémie de #coronavirus : À Antony près de #Paris, les éboueurs sont venus rendre hommage au personnel soignant. (@Rem…|FALSE|0|NA|2020-04-10 15:33:36|FALSE|NA|1248635247010492421|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|_bhadk|389|TRUE|FALSE|NA|NA
RT @ChrisGeekWorld: Toutes les informations sur le Covid-19 en temps réel avec carte de France. Toutes les statistiques et les infos les pl…|FALSE|0|NA|2020-04-10 15:33:35|FALSE|NA|1248635244833636352|NA|<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>|BraguetteOpen|5|TRUE|FALSE|NA|NA
